Default calling medium for logged in user,Phương tiện gọi mặc định cho người dùng đã đăng nhập,
Default calling medium set successfully to {0},Đã đặt phương tiện gọi mặc định thành công thành {0},
Default calling medium updated successfully,Đã cập nhật phương tiện gọi mặc định thành công,
Default medium,Phương tiện mặc định,
Default statuses, custom fields and layouts restored successfully.,Trạng thái mặc định, trường tùy chỉnh và bố cục đã được khôi phục thành công.,
Delete & Restore,Xóa & Khôi phục,
Delete Task,Xóa công việc,
Delete View,Xóa chế độ xem,
Delete attachment,Xóa tệp đính kèm,
Delete contact,Xóa liên hệ,
Delete organization,Xóa tổ chức,
Deleted successfully,Xóa thành công,
Desk,Bàn làm việc,
Device,Thiết bị,
Dialog,Hộp thoại,
Document not found,Không tìm thấy tài liệu,
Documentation,Tài liệu,
Drag and drop files here or upload from,Kéo và thả các tập tin ở đây hoặc tải lên từ,
Drop files here,Thả tập tin vào đây,
Dropdown Items,Các mục thả xuống,
Duplicate View,Sao chép chế độ xem,
ERPNext,ERPNext,
ERPNext CRM Settings,Cài đặt ERPNext CRM,
ERPNext Settings updated,Cài đặt ERPNext đã được cập nhật,
ERPNext Site API's,API của trang ERPNext,
ERPNext Site URL,Địa chỉ URL của trang ERPNext,
ERPNext is not installed in the current site,ERPNext chưa được cài đặt trên trang web hiện tại,
ERPNext is not integrated with the CRM,ERPNext chưa được tích hợp với CRM,
Edit Call Log,Chỉnh sửa Nhật ký cuộc gọi,
Edit Data Fields Layout,Chỉnh sửa bố cục trường dữ liệu,
Edit Field Layout,Chỉnh sửa bố cục trường,
Edit Grid Fields Layout,Chỉnh sửa bố cục các trường trong lưới,
Edit Note,Chỉnh sửa Ghi chú,
Edit Quick Entry Layout,Chỉnh sửa bố cục nhập nhanh,
Edit Task,Chỉnh sửa Công việc,
Edit View,Chỉnh sửa Chế độ xem,
Edit note,Chỉnh sửa Ghi chú,
Edit profile photo,Chỉnh sửa ảnh hồ sơ,
Edit task,Chỉnh sửa Công việc,
Email Sent At,Email được gửi đến lúc,
Email Templates,Mẫu Email,
Email from Lead,Email từ Lead,
Emails,Email,
Empty - Choose a field to filter by,Trống - Chọn một trường để lọc theo,
Empty - Choose a field to sort by,Trống - Chọn một trường để sắp xếp theo,
Enter {0},Nhập {0},
Error Updating Deal,Lỗi khi cập nhật Deal,
Error Updating Lead,Lỗi khi cập nhật Lead,
Error converting to deal,Lỗi khi chuyển đổi thành Deal,
Error updating deal,Lỗi khi cập nhật Deal,
Error updating lead,Lỗi khi cập nhật Lead,
Error while creating customer in ERPNext, check error log for more details,Có lỗi xảy ra khi tạo khách hàng trong ERPNext, vui lòng kiểm tra nhật ký lỗi để biết thêm chi tiết.,
Error while creating prospect in ERPNext, check error log for more details,Có lỗi xảy ra khi tạo khách hàng tiềm năng trong ERPNext, vui lòng kiểm tra nhật ký lỗi để biết thêm chi tiết.,
Error while fetching customer in ERPNext, check error log for more details,Có lỗi xảy ra khi tìm kiếm thông tin khách hàng trong ERPNext, vui lòng kiểm tra nhật ký lỗi để biết thêm chi tiết.,
ErrorMessage,Thông báo lỗi,
Excel,Excel,
Exotel,Exotel,
Exotel Exception,Exotel Ngoại lệ,
Exotel Number,Exotel Số điện thoại,
Exotel Number Missing,Exotel Số điện thoại bị thiếu,
Exotel Number {0} is not valid,Exotel Số điện thoại {0} không hợp lệ,
Exotel is not enabled,Exotel không được kích hoạt,
Exotel settings updated successfully,Exotel Cài đặt được cập nhật thành công,
Export All {0} Record(s),Xuất tất cả {0} bản ghi,
FCRM,FCRM,
FCRM Note,FCRM Ghi chú,
FCRM Settings,FCRM Cài đặt,
Failed to capture Twilio recording,Không thể ghi lại cuộc gọi Twilio,
Failed to update Twilio call status,Không thể cập nhật trạng thái cuộc gọi Twilio,
Favicon,Biểu tượng yêu thích,
Fields Order,Thứ tự các trường,
File "{0}" was skipped because of invalid file type,Tệp "{0}" đã bị loại bỏ vì loại tệp không hợp lệ,
File "{0}" was skipped because only {1} uploads are allowed,Tệp "{0}" đã bị bỏ qua vì chỉ được phép tải lên {1},
File "{0}" was skipped because only {1} uploads are allowed for DocType "{2}",Tệp "{0}" đã bị bỏ qua vì chỉ được phép tải lên {1} cho DocType "{2}",
File "{0}" was skipped because size exceeds {1} MB,Tệp "{0}" đã bị bỏ qua vì kích thước vượt quá {1} MB,
First Name is mandatory,Họ tên là trường bắt buộc,
First Response Due,Hạn phản hồi đầu tiên,
First Response TIme,Thời gian phản hồi đầu tiên,
First name,Họ tên,
Form,Biểu mẫu,
Form Script updated successfully,Form Script đã được cập nhật thành công,
FormControl,Điều khiển biểu mẫu,
Frappe School,Frappe Học tập,
Frappe Support,Frappe Hỗ trợ,
Go to website,Xem website ,
Grid Row,Hàng trong lưới,
Group By Field,Nhóm theo trường,
Group By:,Nhóm theo:,
Hide Recording,Ẩn ghi âm,
Hide border,Ẩn đường viền,
Hide label,Ẩn nhãn,
Hide preview,Ẩn bản xem trước,
Home actions,Tác vụ trên trang chủ,
In less than a minute,Trong vòng chưa đầy một phút,
Inbound Call,Cuộc gọi đến,
Incoming call...,Cuộc gọi đến...,
Initiating call...,Bắt đầu cuộc gọi...,
Integration Not Enabled,Tích hợp chưa được kích hoạt,
Invalid Account SID or Auth Token.,Account SID hoặc Auth Token không hợp lệ.,
Invalid Email,Email không hợp lệ,
Invalid Exotel Number,Số Exotel không hợp lệ,
Invite Members,Mời thành viên,
Invite as,Mời như,
Invite by email,Mời qua email,
Invited By,Được mời bởi,
Is ERPNext installed on a different site?,ERPNext có được cài đặt trên một trang web khác không?,
JSON,JSON,
John Doe,John Doe,
Kanban,Kanban,
Kanban Columns,Cột Kanban,
Kanban Fields,Trường Kanban,
Kanban Settings,Thiết lập Kanban,
Last 6 Months,Sáu tháng trước,
Last Status Change Log,Lần cuối thay đổi trạng thái nhật ký,
Last modified,Sửa đổi lần cuối,
Layout,Bố cục,
Lead,Lead,
Lead Owner cannot be same as the Lead Email Address,Người phụ trách Lead không được trùng với địa chỉ Email Lead,
Lead updated,Lead đã cập nhật,
Leads,Lead,
Library,Thư viện,
Listen,Nghe,
Load Default Columns,Tải cột mặc định,
Log out,Đăng xuất,
Login to Frappe Cloud?,Đăng nhập vào Frappe Cloud?,
Loved the demo?,Bạn có thích bản demo này không?,
Make Call,Thực hiện cuộc gọi,
Make Private,Đặt riêng tư,
Make Public,Đặt công khai,
Make a Call,Thực hiện cuộc gọi,
Make attachment {0},Tạo tệp đính kèm {0},
Make call,Thực hiện cuộc gọi,
Make private,Đặt riêng tư,
Make public,Đặt công khai,
Make {0} as default calling medium,Đặt {0} làm phương tiện gọi mặc định,
Manager Access,Quản lý quyền truy cập,
Mark all as read,Đánh dấu tất cả là đã đọc,
Mention,Đề cập,
Mobile No should be a number,Số di động phải là định dạng số,
Mobile Number Missing,Số điện thoại di động bị thiếu,
Mobile no,Di động,
Move to next section,Di chuyển đến phần tiếp theo,
Move to next tab,Di chuyển đến tab tiếp theo,
Move to previous section,Di chuyển đến phần trước,
Move to previous tab,Di chuyển đến tab trước,
My Open Deals,Các Deal đang mở ,
New Call Log,Nhật ký cuộc gọi mới,
New Comment,Thêm bình luận,
New Contact,Liên hệ mới,
New Message,Tin nhắn mới,
New Organization,Tổ chức mới,
New Section,Phần mới,
New Tab,Tab mới,
New WhatsApp Message,Tin nhắn WhatsApp mới,
New contact will be created based on the person's details,Địa chỉ liên hệ mới sẽ được tạo dựa trên thông tin cá nhân,
New organization will be created based on the data in details section,Tổ chức mới sẽ được tạo dựa trên dữ liệu trong phần chi tiết,
Next 6 Months,6 tháng tới,
Next Month,Tháng tới,
Next Quarter,Quý tới,
Next Step,Bước tiếp theo,
Next Week,Tuần tới,
Next Year,Năm tới,
No Answer,Không có câu trả lời,
No Title,Không có tiêu đề,
No contacts added,Không có liên hệ nào được thêm vào,
No email set,Chưa cài đặt Email,
No label,Không có nhãn,
No mobile number set,Chưa đặt số điện thoại di động,
No new notifications,Không có thông báo mới,
No phone number set,Chưa đặt số điện thoại,
No primary contact set,Chưa đặt liên hệ chính ,
No templates found,Không tìm thấy template,
No website set,Chưa đặt website,
No {0} Available,{0} không có sẵn,
No {0} Found,{0} không tìm thấy,
Not allowed to add contact to Deal,Không được phép thêm liên hệ vào Deal,
Not allowed to convert Lead to Deal,Không được phép chuyển đổi Lead thành Deal,
Not allowed to remove contact from Deal,Không được phép xóa liên hệ khỏi Deal,
Not allowed to set primary contact for Deal,Không được phép đặt liên hệ chính cho Deal,
Notes View,Chế độ xem Ghi chú,
Notification,Thông báo,
Notification Text,Văn bản thông báo,
Notification Type Doc,Loại tài liệu thông báo,
Notification Type Doctype,Loại Doctype thông báo,
Notifications,Thông báo,
Only PNG and JPG images are allowed,Chỉ cho phép tải lên hình ảnh PNG và JPG,
Open Deal,Mở Deal,
Open in Portal,Mở trong Portal,
Open in new window,Mở trong cửa sổ mới,
Open website,Mở trang web,
Organization Details,Chi tiết tổ chức,
Organization Logo,Logo tổ chức,
Organization logo,Logo tổ chức,
Organization updated,Tổ chức đã cập nhật,
Organizations,Tổ chức,
Outbound Call,Cuộc gọi đi,
Parent CRM Territory,CRM Khu vực cha,
Password cannot be reset by Demo User {},Người dùng Demo không thể đặt lại mật khẩu,
Payment Reminder,Nhắc nhở thanh toán,
Payment Reminder from Frappé - (#{{ name }}),Nhắc nhở thanh toán từ Frappé - (#{{ name }}),
Pending Invites,Lời mời đang chờ xử lý,
Person,Thông tin cá nhân,
Phone Numbers,Số điện thoại,
Pin View,Chế độ xem đã ghim,
Pinned,Đã ghim,
Pinned Views,Ghi chú được ghim,
Playback speed,Tốc độ phát lại,
Please enable twilio settings before making a call.,Vui lòng bật thiết lập twilio trước khi thực hiện cuộc gọi.,
Please enter a valid URL,Vui lòng nhập URL hợp lệ,
Please select an existing contact,Vui lòng chọn một liên hệ hiện có,
Please select an existing organization,Vui lòng chọn một tổ chức hiện có,
Please setup Exotel intergration,Vui lòng thiết lập tích hợp Exotel,
Position,Vị trí,
Primary contact set,Đặt liên hệ chính,
Profile,Hồ sơ,
Profile updated successfully,Hồ sơ đã được cập nhật thành công,
Public,Công khai,
Public Views,Chế độ xem công khai,
Quick Filters updated successfully,Bộ lọc nhanh đã được cập nhật thành công,
Record Calls,Ghi âm cuộc gọi,
Record Outgoing Calls,Ghi âm các cuộc gọi đi,
Reference Doc,Tài liệu tham chiếu,
Regular Access,Truy cập thường xuyên,
Remove,Xóa Video,
Remove all,Xóa tất cả,
Remove and move columns to {0} section,Xóa và di chuyển các cột đến phần {0},
Remove and move fields to previous column,Xóa và di chuyển các trường đến cột trước đó,
Remove column,Xóa cột,
Remove image,Xóa hình ảnh,
Remove section,Xóa phần,
Remove tab,Xóa tab,
Report an Issue,Báo cáo một vấn đề,
Required Fields,Các trường bắt buộc,
Reset Changes,Đặt lại các thay đổi,
Reset ERPNext Form Script,Đặt lại Form Script của ERPNext,
Reset to Default,Đặt lại về mặc định,
Response and Follow Up,Phản hồi và theo dõi,
Restore Defaults,Khôi phục mặc định,
Retake,Thực hiện lại,
Rich Text,Định dạng văn bản,
Ringing...,Đang đổ chuông...,
Route Name,Tên tuyến đường,
Rows,Hàng,
SLA,SLA,
SLA Creation,Khởi tạo SLA,
SLA Name,Tên SLA,
SLA Status,Trạng thái SLA,
SUBJECT,Đối tượng,
Save Changes,Lưu các thay đổi,
Saved Views,Các chế độ xem đã lưu,
Schedule a task...,Đặt lịch cho công việc...,
Script,Script,
Section,Phần,
Send Invites,Gửi lời mời,
Send Invites To,Gửi lời mời đến,
Send Template,Gửi Template,
Send an email,Gửi Email,
Set all as private,Đặt tất cả ở chế độ riêng tư,
Set all as public,Đặt tất cả ở chế độ công khai,
Set an organization,Thiết lập tổ chức,
Set as Primary Contact,Đặt làm liên hệ chính,
Set as default,Đặt làm mặc định,
Set first name,Cài đặt tên,
Show border,Hiển thị đường viền,
Show label,Hiển thị nhãn,
Show preview,Hiển thị bản xem trước,
Side Panel,Bảng điều khiển bên,
Sign up now,Đăng ký ngay,
Simple Python Expression, Example: doc.status == 'Open' and doc.lead_source == 'Ads',Biểu thức Python , Ví dụ: doc.status == 'Open' and doc.lead_source == 'Ads',
Sort,Sắp xếp,
Standard Form Scripts can not be modified, duplicate the Form Script instead.,Không thể sửa đổi Form Scripts tiêu chuẩn, thay vào đó hãy sao chép From Script.,
Standard Views,Chế độ xem chuẩn,
Status Change Log,Lịch sử thay đổi trạng thái,
Status is required,Trạng thái là bắt buộc,
Subject: {0},Chủ đề: {0},
Switch camera,Chuyển đổi máy ảnh,
TO,ĐẾN,
Take a note...,Hãy ghi chú lại nhé...,
Telephony,Điện thoại,
Telephony Medium,Phương tiện điện thoại,
Telephony Settings,Cài đặt điện thoại,
The Condition '{0}' is invalid: {1},Điều kiện '{0}' không hợp lệ: {1},
There can only be one default priority in Priorities table,Chỉ có một mức ưu tiên mặc định trong bảng ưu tiên,
This Month,Tháng này,
This Quarter,Quý này,
This Week,Tuần này,
This Year,Năm nay,
This section is not editable,Phần này không thể chỉnh sửa,
This will restore (if not exist) all the default statuses, custom fields and layouts. Delete & Restore will delete default layouts and then restore them.,Thao tác này sẽ khôi phục (nếu không tồn tại) tất cả các trạng thái mặc định, trường tùy chỉnh và bố cục. Xóa & Khôi phục sẽ xóa các bố cục mặc định rồi khôi phục chúng.,
Todo,Cần làm,
Toggle on for preview,Bật chế độ xem trước,
Tomorrow,Ngày mai,
Took a call with John Doe and discussed the new project.,Gọi điện cho John Doe và thảo luận về dự án mới.,
Try Frappe CRM for free with a 14-day trial.,Dùng thử Frappe CRM miễn phí trong vòng 14 ngày.,
TwiML SID,TwiML SID,
Twilio,Twilio,
Twilio API credential creation error.,Lỗi tạo thông tin xác thực Twilio API,
Twilio Number,Twilio Number,
Twilio is not enabled,Twilio chưa được kích hoạt,
Twilio settings updated successfully,Twilio Cài đặt đã được cập nhật thành công,
Type your message here...,Nhập tin nhắn của bạn ở đây...,
Unauthorized request,Yêu cầu không hợp lệ,
Uncollapsible,Không thể thu gọn,
Unpin View,Bỏ ghim Chế độ xem,
Unsaved Changes,Thay đổi chưa lưu,
Untitled,Chưa có tiêu đề,
Update {0} Records,Cập nhật {0} bản ghi,
Upload Attachment,Tải lên tệp đính kèm,
Upload Document,Tải tài liệu lên,
Upload Image,Tải ảnh lên,
Upload Video,Tải video lên,
Upload image,Tải ảnh lên,
User Forum,Diễn đàn người dùng,
View Name,Xem tên,
Webhook Verify Token,Mã xác thực Webhook,
Website not found,Không tìm thấy trang web,
Welcome Message,Tin nhắn chào mừng,
WhatsApp Templates,WhatsApp Templates,
Where,Khi mà,
Width can be in number, pixel or rem (eg. 3, 30px, 10rem),Chiều rộng có thể là số, pixel hoặc rem (ví dụ: 3, 30px, 10rem),
Yesterday,Hôm qua,
You can change the default calling medium from the settings,Bạn có thể thay đổi phương thức gọi mặc định trong cài đặt.,
You do not have Exotel Number set in your Telephony Agent,Bạn chưa cài đặt số Exotel trong hệ thống điện thoại của mình,
You do not have mobile number set in your Telephony Agent,Bạn chưa cài đặt số điện thoại di động trong hệ thống điện thoại của mình,
You have unsaved changes. Do you want to save them?,Bạn có thay đổi chưa được lưu. Bạn có muốn lưu chúng không?,
You need to be in developer mode to edit a Standard Form Script,Bạn cần phải ở chế độ nhà phát triển để chỉnh sửa một Form Script tiêu chuẩn.,
added a,đã thêm,
amber,màu hổ phách,
black,màu đen,
button,Nút,
changes from,thay đổi từ,
cyan,màu xanh lam nhạt,
div,thẻ div,
gray,màu xám,
group_by,nhóm_bởi,
h3,h3,
has made a call,đã thực hiện cuộc gọi,
has reached out,đã liên hệ,
header,tiêu đề,
kanban,kanban,
label,nhãn,
mentioned you in {0},đã nhắc đến bạn trong {0},
pink,màu hồng,
plugin,tiện ích bổ sung,
previous,trước,
private,riêng tư,
public,Công khai,
span,Phạm vi,
teal,màu xanh cốm,
violet,màu tím than,
{0} assigned a {1} {2} to you,{0} đã giao {1} {2} cho bạn,
{0} is a required field,{0} là một trường bắt buộc,
{0} is an invalid email address,{0} là địa chỉ email không hợp lệ,
Source Text,Translated Text,Context,Lang,Văn bản nguồn, Văn bản dịch, Bối cảnh, Ngôn ngữ,
API Key,API Key,
API Secret,API Secret,
API Token,API Token,
Accepted At,Được chấp nhận tại,
Account SID,Tài khoản SID,
Add Weekly Holidays,Thêm ngày nghỉ hàng tuần,
Add to Holidays,Thêm vào ngày nghỉ,
Address,Địa chỉ,
Annual Revenue,Doanh thu hàng năm,
Apply On,Áp dụng vào,
Apply To,Áp dụng cho,
Assigned To,Đã giao cho,
Auth Token,Mã xác thực,
Branding,Xây dựng thương hiệu,
Call Received By,Nghe máy bởi,
Caller,Người gọi,
Clear Table,Xóa bảng,
Close Date,Ngày chốt,
Color,Màu sắc,
Column Field,Trường cột,
Columns,Tùy chỉnh cột,
Comment,Bình luận,
Communication Status,Trạng thái liên hệ,
Company in ERPNext Site,Công ty trong trang ERPNext,
Condition,Điều kiện,
Contact,Liên hệ,
Contacts,Liên hệ,
Content,Nội dung,
Converted,Đã chuyển đổi,
Create customer on status change,Tạo khách hàng khi trạng thái thay đổi,
Currency,Tiền tệ,
Date,Ngày,
Deal Owner,Người phụ trách Deal,
Deal Status,Trạng thái Deal,
Default,Mặc định,
Default Medium,Phương tiện mặc định,
Default Priority,Mức ưu tiên mặc định,
Defaults,Mặc định,
Description,Mô tả,
Details,Chi tiết,
Device,Thiết bị,
DocType,Doctype,
Document Type,Loại tài liệu,
Dropdown Items,Các mục thả xuống,
Due Date,Ngày đáo hạn,
Duration,Thời lượng,
ERPNext Site API's,API của trang ERPNext,
ERPNext Site URL,Địa chỉ URL của trang ERPNext,
Email,Email,
Email Sent At,Email được gửi vào lúc,
Enabled,Đã bật,
End Date,Ngày kết thúc,
End Time,Thời gian kết thúc,
Exotel,Exotel,
Exotel Number,Exotel Số điện thoại,
Favicon,Biểu tượng yêu thích,
Filters,Bộ lọc,
First Name,Họ tên,
First Responded On,Phản hồi lần đầu vào,
First Response TIme,Thời gian phản hồi đầu tiên,
First Response Time,Thời gian phản hồi đầu tiên,
From,Từ,
From Date,Từ ngày,
From User,Từ người dùng,
Full Name,Họ và tên,
Gender,Giới tính,
Group By,Nhóm theo,
Group By Field,Nhóm theo trường,
Hidden,Ẩn,
Holiday List,Danh sách ngày nghỉ lễ,
Holiday List Name,Tên danh sách ngày nghỉ lễ,
Holidays,Ngày nghỉ lễ,
ID,ID,
Icon,Biểu tượng,
Image,Hình ảnh,
Industry,Lĩnh vực,
Invited By,Được mời bởi,
Is Default,Là mặc định,
Is ERPNext installed on a different site?,ERPNext có được cài đặt trên một trang web khác không?,
Is Group,Là Nhóm,
Is Primary,Là chính,
Is Standard,Là Tiêu chuẩn,
JSON,JSON,
Job Title,Chức danh,
Kanban,Kanban,
Kanban Columns,Cột Kanban,
Kanban Fields,Trường Kanban,
Key,Chìa khóa,
Label,Nhãn,
Last Name,Họ,
Last Status Change Log,Lần cuối thay đổi trạng thái nhật ký,
Layout,Bố cục,
Lead,Lead,
Lead Details,Lead Chi tiết,
Lead Name,Tên Lead,
Lead Owner,Người phụ trách Lead,
Left,Bên trái,
Links,Liên kết,
List,Danh sách,
Load Default Columns,Tải cột mặc định,
Log,Nhật ký,
Logo,Logo,
Medium,Trung bình,
Message,Tin nhắn,
Middle Name,Tên đệm,
Mobile No,Số điện thoại di động,
Mobile No.,Số điện thoại di động,
Name,Tên,
Naming Series,Chuỗi đặt tên,
Next Step,Bước tiếp theo,
No. of Employees,Quy mô nhân viên,
Note,Ghi chú,
Notification Text,Văn bản thông báo,
Notification Type Doc,Loại tài liệu thông báo,
Notification Type Doctype,Loại Doctype thông báo,
Number,Con số,
Old Parent,Khu vực cha (cũ),
Open in new window,Mở trong cửa sổ mới,
Order By,Sắp xếp theo,
Organization,Tổ chức,
Organization Details,Chi tiết tổ chức,
Organization Logo,Logo tổ chức,
Organization Name,Tên tổ chức,
Others,Khác,
Owner,Người sở hữu,
Parent CRM Territory,CRM Khu vực cha,
Person,Thông tin cá nhân,
Phone,Điện thoại,
Phone Numbers,Số điện thoại,
Pinned,Đã ghim,
Position,Vị trí,
Priorities,Mức ưu tiên,
Priority,Mức ưu tiên,
Probability,Xác suất,
Public,Công khai,
Read,Đã đọc,
Record Calls,Ghi âm cuộc gọi,
Record Outgoing Calls,Ghi âm các cuộc gọi đi,
Recording URL,URL Ghi âm,
Reference Doc,Tài liệu tham chiếu,
Reference Doctype,Doctype tham chiếu,
Reference Document Type,Loại tài liệu tham khảo,
Reference Name,Tên tham chiếu,
Response By,Phản hồi bởi,
Response Details,Chi tiết phản hồi,
Response and Follow Up,Phản hồi và theo dõi,
Restore Defaults,Khôi phục mặc định,
Right,Bên phải,
Role,Vai trò,
Route,Tuyến đường,
Route Name,Tên tuyến đường,
Rows,Hàng,
SLA,SLA,
SLA Creation,Khởi tạo SLA,
SLA Name,Tên SLA,
